epoch,train_acc,train_loss,val_acc,val_loss
0,,,0.692307711,0.795713782
0,0.507692337,1.815369844,,
1,,,0.969230771,0.221577644
1,0.824999988,0.550155282,,
2,,,0.938461542,0.212793201
2,0.913461566,0.278853595,,
3,,,0.938461542,0.141219184
3,0.965384603,0.126313701,,
4,,,0.984615386,0.026140701
4,0.961538434,0.116592258,,
5,,,0.969230771,0.049773671
5,0.992307663,0.020071661,,
6,,,0.953846157,0.077561617
6,0.971153855,0.088848159,,
7,,,0.984615386,0.038687501
7,0.97307694,0.088988245,,
8,,,1,0.013943368
8,0.990384638,0.037247356,,
9,,,1,0.006932693
9,1,0.003380627,,
10,,,1,0.002548803
10,1,0.000734331,,
11,,,1,0.001676275
11,1,0.00019305,,
12,,,1,0.001448932
12,1,0.000159315,,
13,,,1,0.001344751
13,1,0.000137764,,
14,,,1,0.001240294
14,1,0.000115252,,
15,,,1,0.001170386
15,1,9.97E-05,,
16,,,1,0.001139756
16,1,9.79E-05,,
17,,,1,0.001052794
17,1,7.89E-05,,
18,,,1,0.00102533
18,1,6.69E-05,,
19,,,1,0.000975332
19,1,7.11E-05,,
20,,,1,0.00095549
20,1,5.63E-05,,
21,,,1,0.001010772
21,1,6.12E-05,,
22,,,1,0.000945742
22,1,5.18E-05,,
23,,,1,0.001036165
23,1,5.03E-05,,
24,,,1,0.00093854
24,1,4.97E-05,,
25,,,1,0.00090766
25,1,4.21E-05,,
26,,,1,0.000838659
26,1,3.99E-05,,
27,,,1,0.00084272
27,1,3.66E-05,,
28,,,1,0.000825985
28,1,3.53E-05,,
29,,,1,0.000843466
29,1,3.39E-05,,
30,,,1,0.000821981
30,1,3.13E-05,,
31,,,1,0.000798183
31,1,3.10E-05,,
32,,,1,0.000855198
32,1,3.00E-05,,
33,,,1,0.000797351
33,1,2.53E-05,,
34,,,1,0.00077924
34,1,2.16E-05,,
35,,,1,0.001251995
35,1,2.77E-05,,
36,,,1,0.00121223
36,1,2.48E-05,,
37,,,1,0.001052748
37,1,2.31E-05,,
38,,,1,0.001044182
38,1,2.14E-05,,
39,,,1,0.001019802
39,1,1.99E-05,,
40,,,1,0.000954113
40,1,1.96E-05,,
41,,,1,0.000978345
41,1,1.92E-05,,
42,,,1,0.001029442
42,1,1.69E-05,,
43,,,1,0.000984366
43,1,1.63E-05,,
44,,,1,0.001015577
44,1,1.42E-05,,
45,,,1,0.000981034
45,1,1.45E-05,,
46,,,1,0.000953432
46,1,1.20E-05,,
47,,,1,0.000943765
47,1,1.29E-05,,
48,,,1,0.001031364
48,1,1.44E-05,,
49,,,1,0.001119212
49,1,1.28E-05,,
50,,,1,0.00116351
50,1,1.10E-05,,
51,,,1,0.001154513
51,1,1.05E-05,,
52,,,1,0.00114266
52,1,9.47E-06,,
53,,,1,0.001103394
53,1,1.02E-05,,
54,,,1,0.001078241
54,1,9.38E-06,,
55,,,1,0.001001312
55,1,9.05E-06,,
56,,,1,0.00094542
56,1,9.00E-06,,
57,,,1,0.00086621
57,1,8.96E-06,,
58,,,1,0.000887101
58,1,7.49E-06,,
59,,,1,0.000893501
59,1,7.63E-06,,
60,,,1,0.000887145
60,1,7.06E-06,,
61,,,1,0.000885723
61,1,7.73E-06,,
62,,,1,0.000926029
62,1,6.60E-06,,
63,,,1,0.000902645
63,1,6.01E-06,,
64,,,1,0.000920967
64,1,6.37E-06,,
65,,,1,0.000855145
65,1,7.25E-06,,
66,,,1,0.000853003
66,1,5.13E-06,,
67,,,1,0.000876887
67,1,5.70E-06,,
68,,,1,0.00091475
68,1,5.19E-06,,
69,,,1,0.000906897
69,1,4.87E-06,,
70,,,1,0.000851873
70,1,5.46E-06,,
71,,,1,0.00081927
71,1,4.53E-06,,
72,,,1,0.000835248
72,1,3.91E-06,,
73,,,1,0.00087323
73,1,4.17E-06,,
74,,,1,0.000817963
74,1,3.49E-06,,
75,,,1,0.000778213
75,1,3.94E-06,,
76,,,1,0.000808334
76,1,3.25E-06,,
77,,,1,0.000746459
77,1,3.20E-06,,
78,,,1,0.000736668
78,1,3.44E-06,,
79,,,1,0.000781177
79,1,3.87E-06,,
80,,,1,0.000770024
80,1,2.98E-06,,
81,,,1,0.000746386
81,1,3.26E-06,,
82,,,1,0.000756862
82,1,3.22E-06,,
83,,,1,0.000727901
83,1,2.68E-06,,
84,,,1,0.000707483
84,1,2.55E-06,,
85,,,1,0.000744521
85,1,2.53E-06,,
86,,,1,0.00072122
86,1,2.52E-06,,
87,,,1,0.000737146
87,1,2.08E-06,,
88,,,1,0.000736116
88,1,2.34E-06,,
89,,,1,0.000754813
89,1,2.24E-06,,
90,,,1,0.000740101
90,1,2.06E-06,,
91,,,1,0.000755061
91,1,1.99E-06,,
92,,,1,0.000762899
92,1,2.00E-06,,
93,,,1,0.000739241
93,1,1.97E-06,,
94,,,1,0.000697275
94,1,1.69E-06,,
95,,,1,0.000696155
95,1,1.82E-06,,
96,,,1,0.000680117
96,1,1.70E-06,,
97,,,1,0.000671027
97,1,1.53E-06,,
98,,,1,0.000668069
98,1,1.54E-06,,
99,,,1,0.000636866
99,1,1.63E-06,,
